AntyRadio ssl	https://an04.cdn.eurozet.pl/ant-web.mp3
AntyRadio	http://an04.cdn.eurozet.pl/ant-web.mp3
PARANORMALIUM	https://shoutcast.paranormalium.pl:8000/1
PR WROCLAW	https://stream4.nadaje.com:9241/prw
ESKA WROCLAW	https://waw.ic.smcdn.pl/2180-1.mp3
TOK FM	https://go-audio.toya.net.pl/793
WNET	http://audio.radiownet.pl:8000/stream
Jedynka	http://mp3.polskieradio.pl:8900/;
Dwójka	http://mp3.polskieradio.pl:8902/;
Trójka	http://mp3.polskieradio.pl:8904/;
RMF FM	http://195.150.20.242:8000/rmf_fm
Radio ZET	http://zet090-02.cdn.eurozet.pl:8404/;
Radio Złote Przeboje	http://poznan7.radio.pionier.net.pl:8000/tuba9-1.mp3
RMF MAXXX	http://195.150.20.242:8000/rmf_maxxx
VOX FM	https://waw.ic.smcdn.pl/3210-1.mp3
MUZO FM	https://stream.rcs.revma.com/1nnezw8qz7zuv
MC RADIO	http://stream4.nadaje.com:10128/mcradio_mp3
MELO RADIO	https://n-11-24.dcs.redcdn.pl/sc/o2/Eurozet/live/meloradio.livx?audio=5
Groovesalad 128	http://ice2.somafm.com/groovesalad-128-mp3
Groovesalad 256	http://ice2.somafm.com/groovesalad-256-mp3
Blues Wave	https://blueswave.radio:8000/blueswave
Kossuth AAC	http://mr-stream.mediaconnect.hu/4734/mr1.aac
